ts,close
1597449600,0.0005815
1597536000,0.000487
1597622400,0.000357
1597708800,0.0003008
1597795200,0.0003342
1597881600,0.0003276
1597968000,0.0002802
1598054400,0.0002628
1598140800,0.0002312
1598227200,0.0002469
1598313600,0.0002524
1598400000,0.0003107
1598486400,0.0002954
1598572800,0.0003062
1598659200,0.0002703
1598745600,0.000303
1598832000,0.0003715
1598918400,0.0004482
1599004800,0.0003802
1599091200,0.0002877
1599177600,0.0002731
1599264000,0.0001872
1599350400,0.0002111
1599436800,0.0002023
1599523200,0.0001818
1599609600,0.0001928
1599696000,0.0001895
1599782400,0.0001834
1599868800,0.0002013
1599955200,0.0001849
1600041600,0.0001729
1600128000,0.0001311
1600214400,0.000117
1600300800,0.000122
1600387200,0.0001151
1600473600,0.0001337
1600560000,0.0001247
1600646400,0.0001048
1600732800,0.0001024
1600819200,8.65e-05
1600905600,9.25e-05
1600992000,9.13e-05
1601078400,0.0001037
1601164800,9.63e-05
1601251200,9.37e-05
1601337600,8.78e-05
1601424000,8.82e-05
1601510400,8.13e-05
1601596800,7.21e-05
1601683200,7.28e-05
1601769600,6.54e-05
1601856000,5.85e-05
1601942400,4.78e-05
1602028800,4.93e-05
1602115200,5.14e-05
1602201600,5.65e-05
1602288000,4.96e-05
1602374400,4.93e-05
1602460800,4.95e-05
1602547200,4.79e-05
1602633600,4.41e-05
1602720000,4.34e-05
1602806400,3.8e-05
1602892800,3.84e-05
1602979200,3.97e-05
1603065600,3.52e-05
1603152000,3.01e-05
1603238400,3e-05
1603324800,3.15e-05
1603411200,2.93e-05
1603497600,2.85e-05
1603584000,2.59e-05
1603670400,3.11e-05
1603756800,4.82e-05
1603843200,3.7e-05
1603929600,3.31e-05
1604016000,2.9e-05
1604102400,3.02e-05
1604188800,2.92e-05
1604275200,2.66e-05
1604361600,2.55e-05
1604448000,2.42e-05
1604534400,2.31e-05
1604620800,2.81e-05
1604707200,2.9e-05
1604793600,3.04e-05
1604880000,2.96e-05
1604966400,3.69e-05
1605052800,3.48e-05
1605139200,3.46e-05
1605225600,4.19e-05
1605312000,4.43e-05
1605398400,4.88e-05
1605484800,4.93e-05
1605571200,4.95e-05
1605657600,4.26e-05
1605744000,4.51e-05
1605830400,4.6e-05
1605916800,4.57e-05
1606003200,4.05e-05
1606089600,4.03e-05
1606176000,3.58e-05
1606262400,3.43e-05
1606348800,3.46e-05
1606435200,3.74e-05
1606521600,3.44e-05
1606608000,3.6e-05
1606694400,3.43e-05
1606780800,3.61e-05
1606867200,4.17e-05
1606953600,4.27e-05
1607040000,3.67e-05
1607126400,3.86e-05
1607212800,3.63e-05
1607299200,3.7e-05
1607385600,3.31e-05
1607472000,3.41e-05
1607558400,3.29e-05
1607644800,3.09e-05
1607731200,3.14e-05
1607817600,3.21e-05
1607904000,3.31e-05
1607990400,3.23e-05
1608076800,3.05e-05
1608163200,2.88e-05
1608249600,2.79e-05
1608336000,2.79e-05
1608422400,2.62e-05
1608508800,2.46e-05
1608595200,2.35e-05
1608681600,1.81e-05
1608768000,2.02e-05
1608854400,1.97e-05
1608940800,1.77e-05
1609027200,1.8e-05
1609113600,1.84e-05
1609200000,1.73e-05
1609286400,2.02e-05
1609372800,2.17e-05
1609459200,2.12e-05
1609545600,1.9e-05
1609632000,2.05e-05
1609718400,2.12e-05
1609804800,2.02e-05
1609891200,1.98e-05
1609977600,1.82e-05
1610064000,1.72e-05
1610150400,1.91e-05
1610236800,1.98e-05
1610323200,1.75e-05
1610409600,1.83e-05
1610496000,1.84e-05
1610582400,2.03e-05
1610668800,3.13e-05
1610755200,3.08e-05
1610841600,4.72e-05
1610928000,4.38e-05
1611014400,3.7e-05
1611100800,4.59e-05
1611187200,5.44e-05
1611273600,5.95e-05
1611360000,6.67e-05
1611446400,7.01e-05
1611532800,6.22e-05
1611619200,6.62e-05
1611705600,5.98e-05
1611792000,6.23e-05
1611878400,5.97e-05
1611964800,7.44e-05
1612051200,7.61e-05
1612137600,7.57e-05
1612224000,7.05e-05
